Behaviour,occurrence,Actor,Receiver,T_start,T_stop,treatment_rep,treatment,time_sec
G,1,1,17,2021-04-26T10:58:43.836633270Z,2021-04-26T10:58:54.337123144Z,R9SP,pre,11.00000006
G,1,1,6,2021-04-26T11:02:52.963844315Z,2021-04-26T11:03:02.213958359Z,R9SP,pre,9.999999823
G,1,1,6,2021-04-26T11:06:04.090641918Z,2021-04-26T11:06:18.965772344Z,R9SP,pre,14.00000013
G,1,1,10,2021-04-26T11:07:19.466238424Z,2021-04-26T11:07:50.716630665Z,R9SP,pre,31.00000033
G,1,1,6,2021-04-26T11:09:46.343041691Z,2021-04-26T11:10:08.343253138Z,R9SP,pre,22.00000011
GQ,1,6,1,2021-04-26T11:10:08.343253138Z,2021-04-26T11:11:22.843551726Z,R9SP,pre,73.9999997
SG,1,2,,2021-04-26T11:07:36.841489060Z,2021-04-26T11:07:51.466541029Z,R9SP,pre,15.00000036
SG,1,3,,2021-04-26T10:56:58.585689283Z,2021-04-26T10:57:24.085915364Z,R9SP,pre,26.00000042
SG,1,3,,2021-04-26T10:57:30.960983582Z,2021-04-26T10:57:38.836076180Z,R9SP,pre,7.999999984
FR,1,3,26,2021-04-26T11:00:45.963124241Z,2021-04-26T11:00:50.837801755Z,R9SP,pre,4.999999912
FR,1,3,26,2021-04-26T11:01:41.838244377Z,2021-04-26T11:02:03.088425884Z,R9SP,pre,22.00000011
SG,1,3,,2021-04-26T11:07:14.216153499Z,2021-04-26T11:07:20.966359443Z,R9SP,pre,6.000000145
SG,1,3,,2021-04-26T11:07:51.591618571Z,2021-04-26T11:08:22.841878814Z,R9SP,pre,30.9999997
SG,1,3,,2021-04-26T11:10:02.467883273Z,2021-04-26T11:10:41.218104262Z,R9SP,pre,38.99999969
SG,1,3,,2021-04-26T11:10:49.718247569Z,2021-04-26T11:11:08.968417347Z,R9SP,pre,19.00000004
CR,1,12,4,2021-04-26T10:56:54.835594623Z,2021-04-26T10:56:59.960723663Z,R9SP,pre,4.999999912
T,1,4,18,2021-04-26T11:06:09.840678348Z,2021-04-26T11:06:25.340833113Z,R9SP,pre,16.0000006
FR,1,4,32,2021-04-26T11:08:52.467191408Z,2021-04-26T11:08:56.967214301Z,R9SP,pre,3.999999678
CR,1,12,4,2021-04-26T11:10:59.968324998Z,2021-04-26T11:11:20.718542927Z,R9SP,pre,20.99999988
SG,1,5,,2021-04-26T11:03:36.964297439Z,2021-04-26T11:03:44.839363841Z,R9SP,pre,7.999999984
SG,1,5,,2021-04-26T11:03:56.339457664Z,2021-04-26T11:04:00.089505023Z,R9SP,pre,3.999999678
SG,1,5,,2021-04-26T11:04:10.964611002Z,2021-04-26T11:04:31.215176833Z,R9SP,pre,20.99999988
SG,1,5,,2021-04-26T11:04:34.965242853Z,2021-04-26T11:05:44.215384053Z,R9SP,pre,70.00000002
